run_utc,fichier,horizon_min,pas_min,energie_prevue_h,energie_mesuree_h,mae,rmse
2025-01-01T00:00:00Z,previsions/2025-01/pv_prev_20250101T00Z.csv.gz,1440,1,0.682,0.612,0.0111,0.0146
2025-01-01T06:00:00Z,previsions/2025-01/pv_prev_20250101T06Z.csv.gz,1440,1,0.678,0.612,0.0095,0.0134
2025-01-01T12:00:00Z,previsions/2025-01/pv_prev_20250101T12Z.csv.gz,1440,1,2.024,2.030,0.0121,0.0157
2025-01-01T18:00:00Z,previsions/2025-01/pv_prev_20250101T18Z.csv.gz,1440,1,3.190,3.043,0.0322,0.0437
2025-01-02T00:00:00Z,previsions/2025-01/pv_prev_20250102T00Z.csv.gz,1440,1,3.326,3.043,0.0379,0.0520
2025-01-02T06:00:00Z,previsions/2025-01/pv_prev_20250102T06Z.csv.gz,1440,1,2.844,3.043,0.0236,0.0281
2025-01-02T12:00:00Z,previsions/2025-01/pv_prev_20250102T12Z.csv.gz,1440,1,3.524,3.232,0.0339,0.0422
2025-01-02T18:00:00Z,previsions/2025-01/pv_prev_20250102T18Z.csv.gz,1440,1,3.747,3.338,0.0475,0.0576
2025-01-03T00:00:00Z,previsions/2025-01/pv_prev_20250103T00Z.csv.gz,1440,1,3.530,3.338,0.0290,0.0375
2025-01-03T06:00:00Z,previsions/2025-01/pv_prev_20250103T06Z.csv.gz,1440,1,2.936,3.338,0.0467,0.0532
2025-01-03T12:00:00Z,previsions/2025-01/pv_prev_20250103T12Z.csv.gz,1440,1,3.173,3.255,0.0234,0.0293
2025-01-03T18:00:00Z,previsions/2025-01/pv_prev_20250103T18Z.csv.gz,1440,1,3.670,3.168,0.0582,0.0664
2025-01-04T00:00:00Z,previsions/2025-01/pv_prev_20250104T00Z.csv.gz,1440,1,3.725,3.168,0.0646,0.0726
2025-01-04T06:00:00Z,previsions/2025-01/pv_prev_20250104T06Z.csv.gz,1440,1,3.590,3.168,0.0489,0.0567
2025-01-04T12:00:00Z,previsions/2025-01/pv_prev_20250104T12Z.csv.gz,1440,1,3.427,2.882,0.0634,0.0886
2025-01-04T18:00:00Z,previsions/2025-01/pv_prev_20250104T18Z.csv.gz,1440,1,2.121,2.664,0.0628,0.0724
2025-01-05T00:00:00Z,previsions/2025-01/pv_prev_20250105T00Z.csv.gz,1440,1,2.860,2.664,0.0244,0.0356
2025-01-05T06:00:00Z,previsions/2025-01/pv_prev_20250105T06Z.csv.gz,1440,1,2.706,2.664,0.0091,0.0115
2025-01-05T12:00:00Z,previsions/2025-01/pv_prev_20250105T12Z.csv.gz,1440,1,2.529,2.760,0.0271,0.0361
2025-01-05T18:00:00Z,previsions/2025-01/pv_prev_20250105T18Z.csv.gz,1440,1,3.622,2.956,0.0769,0.0861
2025-01-06T00:00:00Z,previsions/2025-01/pv_prev_20250106T00Z.csv.gz,1440,1,3.358,2.956,0.0464,0.0520
2025-01-06T06:00:00Z,previsions/2025-01/pv_prev_20250106T06Z.csv.gz,1440,1,3.490,2.956,0.0616,0.0680
2025-01-06T12:00:00Z,previsions/2025-01/pv_prev_20250106T12Z.csv.gz,1440,1,1.601,1.636,0.0155,0.0208
2025-01-06T18:00:00Z,previsions/2025-01/pv_prev_20250106T18Z.csv.gz,1440,1,0.512,0.572,0.0127,0.0181
2025-01-07T00:00:00Z,previsions/2025-01/pv_prev_20250107T00Z.csv.gz,1440,1,0.740,0.572,0.0194,0.0237
2025-01-07T06:00:00Z,previsions/2025-01/pv_prev_20250107T06Z.csv.gz,1440,1,0.719,0.572,0.0170,0.0204
2025-01-07T12:00:00Z,previsions/2025-01/pv_prev_20250107T12Z.csv.gz,1440,1,0.382,0.425,0.0065,0.0094
2025-01-07T18:00:00Z,previsions/2025-01/pv_prev_20250107T18Z.csv.gz,1440,1,0.409,0.275,0.0155,0.0187
2025-01-08T00:00:00Z,previsions/2025-01/pv_prev_20250108T00Z.csv.gz,1440,1,0.256,0.275,0.0076,0.0096
2025-01-08T06:00:00Z,previsions/2025-01/pv_prev_20250108T06Z.csv.gz,1440,1,0.261,0.275,0.0043,0.0061
2025-01-08T12:00:00Z,previsions/2025-01/pv_prev_20250108T12Z.csv.gz,1440,1,0.638,0.525,0.0139,0.0230
2025-01-08T18:00:00Z,previsions/2025-01/pv_prev_20250108T18Z.csv.gz,1440,1,1.065,0.726,0.0389,0.0474
2025-01-09T00:00:00Z,previsions/2025-01/pv_prev_20250109T00Z.csv.gz,1440,1,0.775,0.726,0.0161,0.0209
2025-01-09T06:00:00Z,previsions/2025-01/pv_prev_20250109T06Z.csv.gz,1440,1,0.697,0.726,0.0102,0.0156
2025-01-09T12:00:00Z,previsions/2025-01/pv_prev_20250109T12Z.csv.gz,1440,1,2.245,2.042,0.0241,0.0386
2025-01-09T18:00:00Z,previsions/2025-01/pv_prev_20250109T18Z.csv.gz,1440,1,3.192,3.292,0.0194,0.0255
2025-01-10T00:00:00Z,previsions/2025-01/pv_prev_20250110T00Z.csv.gz,1440,1,2.625,3.292,0.0763,0.0871
2025-01-10T06:00:00Z,previsions/2025-01/pv_prev_20250110T06Z.csv.gz,1440,1,2.971,3.292,0.0368,0.0465
2025-01-10T12:00:00Z,previsions/2025-01/pv_prev_20250110T12Z.csv.gz,1440,1,3.056,3.588,0.0609,0.0841
2025-01-10T18:00:00Z,previsions/2025-01/pv_prev_20250110T18Z.csv.gz,1440,1,3.966,3.528,0.0499,0.0590
2025-01-11T00:00:00Z,previsions/2025-01/pv_prev_20250111T00Z.csv.gz,1440,1,3.979,3.528,0.0514,0.0605
2025-01-11T06:00:00Z,previsions/2025-01/pv_prev_20250111T06Z.csv.gz,1440,1,3.451,3.528,0.0112,0.0146
2025-01-11T12:00:00Z,previsions/2025-01/pv_prev_20250111T12Z.csv.gz,1440,1,2.073,2.837,0.0912,0.1477
2025-01-11T18:00:00Z,previsions/2025-01/pv_prev_20250111T18Z.csv.gz,1440,1,1.910,2.498,0.0882,0.1062
2025-01-12T00:00:00Z,previsions/2025-01/pv_prev_20250112T00Z.csv.gz,1440,1,2.304,2.498,0.0556,0.0763
2025-01-12T06:00:00Z,previsions/2025-01/pv_prev_20250112T06Z.csv.gz,1440,1,1.064,2.498,0.1655,0.1953
2025-01-12T12:00:00Z,previsions/2025-01/pv_prev_20250112T12Z.csv.gz,1440,1,0.981,2.043,0.1236,0.1473
2025-01-12T18:00:00Z,previsions/2025-01/pv_prev_20250112T18Z.csv.gz,1440,1,0.122,1.447,0.1503,0.1767
2025-01-13T00:00:00Z,previsions/2025-01/pv_prev_20250113T00Z.csv.gz,1440,1,1.959,1.447,0.0595,0.0754
2025-01-13T06:00:00Z,previsions/2025-01/pv_prev_20250113T06Z.csv.gz,1440,1,1.375,1.447,0.0254,0.0380
2025-01-13T12:00:00Z,previsions/2025-01/pv_prev_20250113T12Z.csv.gz,1440,1,2.790,2.326,0.0555,0.0784
2025-01-13T18:00:00Z,previsions/2025-01/pv_prev_20250113T18Z.csv.gz,1440,1,1.880,3.208,0.1497,0.1628
